match_type,group_id,key_hash,domain_a,date_a,title_a,url_a,domain_b,date_b,title_b,url_b,body_chars_a,body_chars_b
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hilldaily.com,2026-04-09T11:43:45,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hilldaily.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,northernnotices.com,2026-04-09T11:55:47,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://northernnotices.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hilldaily.com,2026-04-09T11:43:45,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hilldaily.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,roguenewsusa.com,2026-04-09T11:43:52,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://roguenewsusa.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hilldaily.com,2026-04-09T11:43:45,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hilldaily.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,streamstates.com,2026-04-09T11:41:55,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://streamstates.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hilldaily.com,2026-04-09T11:43:45,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hilldaily.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,summitupdate.us,2026-04-09T11:52:55,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://summitupdate.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hilldaily.com,2026-04-09T11:43:45,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hilldaily.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,truenorthconservative.com,2026-04-09T12:04:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://truenorthconservative.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hilldaily.com,2026-04-09T11:43:45,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hilldaily.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,unitedrightamerica.com,2026-04-09T11:35:38,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://unitedrightamerica.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,maineupdate.com,2026-04-09T11:33:08,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://maineupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,metrocurrent.com,2026-04-09T11:43:33,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://metrocurrent.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,nevadainsight.com,2026-04-09T11:39:28,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://nevadainsight.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,noonreport.us,2026-04-09T11:52:17,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://noonreport.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,northernnotices.com,2026-04-09T11:55:47,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://northernnotices.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,roguenewsusa.com,2026-04-09T11:43:52,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://roguenewsusa.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,streamstates.com,2026-04-09T11:41:55,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://streamstates.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,summitupdate.us,2026-04-09T11:52:55,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://summitupdate.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,truenorthconservative.com,2026-04-09T12:04:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://truenorthconservative.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,hypernewsnow.com,2026-04-09T11:43:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://hypernewsnow.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,unitedrightamerica.com,2026-04-09T11:35:38,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://unitedrightamerica.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,maineupdate.com,2026-04-09T11:33:08,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://maineupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,metrocurrent.com,2026-04-09T11:43:33,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://metrocurrent.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,nevadainsight.com,2026-04-09T11:39:28,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://nevadainsight.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,noonreport.us,2026-04-09T11:52:17,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://noonreport.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,northernnotices.com,2026-04-09T11:55:47,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://northernnotices.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,roguenewsusa.com,2026-04-09T11:43:52,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://roguenewsusa.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,streamstates.com,2026-04-09T11:41:55,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://streamstates.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,summitupdate.us,2026-04-09T11:52:55,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://summitupdate.us/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,truenorthconservative.com,2026-04-09T12:04:15,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://truenorthconservative.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
exact_title_body,exact_title_body-00001,ee209c06de151237b2a2de0ff61c683e79175c3c13a057c81af7fbd8b1e0de86,indyupdate.com,2026-04-09T11:44:59,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://indyupdate.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,unitedrightamerica.com,2026-04-09T11:35:38,Ex-Wife of Hungary Opposition Leader Claims He Microwaved Family Puppy and Masturbated in Front of Kids,https://unitedrightamerica.com/ex-wife-of-hungary-opposition-leader-claims-he-microwaved-family-puppy-and-masturbated-in-front-of-kids/,2152,2152
